undefinedin,victory_percentage,loose_percentage,split_percentage
2c2d,Kc3h,53,46,1
2c2d,Kc3c,51,48,1
2c2d,Kc2s,66,32,2
2c2d,Kc2h,66,32,2
2c2d,KhKc,18,82,0
2c2d,KhKd,18,82,0
2c2d,KhKs,19,81,0
2c2d,KhQc,51,48,1
2c2d,KhQh,48,51,1
2c2d,KhQd,51,48,1
2c2d,KhQs,51,48,1
2c2d,KhJc,50,49,1
2c2d,KhJh,48,51,1
2c2d,KhJd,50,49,1
2c2d,KhJs,51,48,1
2c2d,KhTc,50,49,1
2c2d,KhTh,47,52,1
2c2d,KhTd,50,49,1
2c2d,KhTs,51,49,0
2c2d,Kh9s,52,48,0
2c2d,Kh9c,51,48,1
2c2d,Kh9h,48,51,1
2c2d,Kh9d,51,48,1
2c2d,Kh8s,53,46,1
2c2d,Kh8d,52,47,1
2c2d,Kh8h,50,50,0
2c2d,Kh8c,52,47,1
2c2d,Kh7s,52,47,1
2c2d,Kh7d,52,47,1
2c2d,Kh7h,49,50,1
2c2d,Kh7c,52,47,1
2c2d,Kh6s,53,47,0
2c2d,Kh6d,52,47,1
2c2d,Kh6h,49,50,1
2c2d,Kh6c,52,47,1
2c2d,Kh5s,53,46,1
2c2d,Kh5d,53,46,1
2c2d,Kh5h,50,49,1
2c2d,Kh5c,53,46,1
2c2d,Kh4s,53,46,1
2c2d,Kh4d,53,46,1
2c2d,Kh4h,50,49,1
2c2d,Kh4c,53,46,1
2c2d,Kh3s,54,45,1
2c2d,Kh3d,53,46,1
2c2d,Kh3h,51,48,1
2c2d,Kh3c,53,46,1
2c2d,Kh2s,66,32,2
2c2d,Kh2h,62,36,2
2c2d,KdKc,17,82,1
2c2d,KdKh,18,81,1
2c2d,KdKs,18,81,1
2c2d,KdQc,50,49,1
2c2d,KdQh,51,48,1
2c2d,KdQd,49,50,1
2c2d,KdQs,51,48,1
2c2d,KdJc,50,49,1
2c2d,KdJh,51,48,1
2c2d,KdJd,48,51,1
2c2d,KdJs,51,49,0
2c2d,KdTc,50,50,0
2c2d,KdTh,50,49,1
2c2d,KdTd,48,51,1
2c2d,KdTs,50,49,1
2c2d,Kd9s,51,48,1
2c2d,Kd9c,51,48,1
2c2d,Kd9h,51,48,1
2c2d,Kd9d,49,50,1
2c2d,Kd8s,52,47,1
2c2d,Kd8d,50,49,1
2c2d,Kd8h,52,47,1
2c2d,Kd8c,52,47,1
2c2d,Kd7s,52,47,1
2c2d,Kd7d,49,50,1
2c2d,Kd7h,52,47,1
2c2d,Kd7c,51,48,1
2c2d,Kd6s,52,47,1
2c2d,Kd6d,50,49,1
2c2d,Kd6h,52,47,1
2c2d,Kd6c,52,47,1
2c2d,Kd5s,53,46,1
2c2d,Kd5d,50,49,1
2c2d,Kd5h,53,46,1
2c2d,Kd5c,52,47,1
2c2d,Kd4s,53,46,1
2c2d,Kd4d,50,49,1
2c2d,Kd4h,53,46,1
2c2d,Kd4c,53,46,1
2c2d,Kd3s,53,46,1
2c2d,Kd3d,51,48,1
2c2d,Kd3h,53,46,1
2c2d,Kd3c,53,46,1
2c2d,Kd2s,66,32,2
2c2d,Kd2h,66,32,2
2c2d,KsKc,18,81,1
2c2d,KsKh,19,81,0
2c2d,KsKd,18,81,1
2c2d,KsQc,51,48,1
2c2d,KsQh,51,48,1
2c2d,KsQd,51,48,1
2c2d,KsQs,48,51,1
2c2d,KsJc,51,48,1
2c2d,KsJh,51,48,1
2c2d,KsJd,50,49,1
2c2d,KsJs,48,51,1
2c2d,KsTc,50,49,1
2c2d,KsTh,51,49,0
2c2d,KsTd,50,49,1
2c2d,KsTs,48,52,0
2c2d,Ks9s,49,50,1
2c2d,Ks9c,51,48,1
2c2d,Ks9h,52,48,0
2c2d,Ks9d,51,48,1
2c2d,Ks8s,49,50,1
2c2d,Ks8d,52,47,1
2c2d,Ks8h,53,47,0
2c2d,Ks8c,52,47,1
2c2d,Ks7s,49,50,1
2c2d,Ks7d,52,48,0
2c2d,Ks7h,52,47,1
2c2d,Ks7c,52,48,0
2c2d,Ks6s,49,50,1
2c2d,Ks6d,52,47,1
2c2d,Ks6h,52,47,1
2c2d,Ks6c,52,47,1
2c2d,Ks5s,50,49,1
2c2d,Ks5d,53,46,1
2c2d,Ks5h,53,46,1
2c2d,Ks5c,53,46,1
2c2d,Ks4s,50,49,1
2c2d,Ks4d,53,46,1
2c2d,Ks4h,53,46,1
2c2d,Ks4c,53,46,1
2c2d,Ks3s,51,48,1
2c2d,Ks3d,53,46,1
2c2d,Ks3h,54,45,1
2c2d,Ks3c,53,46,1
2c2d,Ks2s,62,36,2
2c2d,Ks2h,66,32,2
2c2d,QcQh,18,82,0
2c2d,QcQd,17,82,1
2c2d,QcQs,18,81,1
2c2d,QcJc,47,52,1
2c2d,QcJh,49,50,1
2c2d,QcJd,49,50,1
2c2d,QcJs,50,49,1
2c2d,QcTc,47,52,1
2c2d,QcTh,49,50,1
2c2d,QcTd,48,50,2
2c2d,QcTs,49,50,1
2c2d,Qc9s,50,49,1
2c2d,Qc9c,48,51,1
2c2d,Qc9h,50,49,1
2c2d,Qc9d,50,49,1
2c2d,Qc8s,51,48,1
2c2d,Qc8d,51,48,1
2c2d,Qc8h,51,48,1
2c2d,Qc8c,49,50,1
2c2d,Qc7s,52,47,1
2c2d,Qc7d,51,48,1
2c2d,Qc7h,52,47,1
2c2d,Qc7c,50,49,1
2c2d,Qc6s,52,47,1
2c2d,Qc6d,52,47,1
2c2d,Qc6h,52,47,1
2c2d,Qc6c,49,49,2
2c2d,Qc5s,52,47,1
2c2d,Qc5d,52,47,1
2c2d,Qc5h,52,46,2
2c2d,Qc5c,50,49,1
2c2d,Qc4s,53,46,1
2c2d,Qc4d,52,47,1
2c2d,Qc4h,53,46,1
2c2d,Qc4c,50,48,2
2c2d,Qc3s,53,46,1
